talkativeness,agreeableness,knowledge_sharing,mimicry,critical_thinking,equal,loop,timeout,percent
0.1,0.9,0.1,,0.5,41,9,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 93.33, 93.33, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 86.67, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.1,,0.9,49,1,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.1,0.5,0.1,22,12,16,"6.67, 6.67, 26.67, 20.0, 13.33, 0.0, 33.33, 0.0, 20.0, 6.67, 20.0, 6.67, 0.0, 20.0, 20.0, 26.67, 13.33, 0.0, 0.0, 20.0, 6.67, 26.67"
0.1,0.9,0.1,0.5,0.5,40,10,0,"100.0, 100.0, 100.0, 86.67, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 86.67, 93.33, 93.33, 86.67, 100.0, 93.33, 93.33, 100.0, 93.33, 100.0, 93.33, 93.33, 93.33, 100.0, 100.0, 100.0, 100.0, 93.33, 93.33, 93.33, 100.0, 86.67, 100.0, 86.67"
0.1,0.9,0.1,0.5,0.9,47,3,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.1,0.9,0.1,8,11,31,"13.33, 20.0, 6.67, 20.0, 13.33, 13.33, 13.33, 6.67"
0.1,0.9,0.1,0.9,0.5,43,7,0,"93.33, 100.0, 100.0, 93.33, 93.33, 100.0, 100.0, 100.0, 93.33, 100.0, 93.33, 100.0, 93.33, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 86.67, 100.0, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 93.33, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 93.33, 100.0, 100.0, 100.0, 93.33, 100.0, 93.33, 100.0"
0.1,0.9,0.1,0.9,0.9,50,0,0,"100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0"
0.1,0.9,0.5,,0.1,33,16,1,"13.33, 20.0, 13.33, 33.33, 20.0, 20.0, 20.0, 26.67, 13.33, 6.67, 20.0, 6.67, 33.33, 40.0, 13.33, 20.0, 6.67, 6.67, 13.33, 13.33, 26.67, 13.33, 20.0, 13.33, 13.33, 13.33, 13.33, 20.0, 20.0, 13.33, 6.67, 26.67, 6.67"
0.1,0.9,0.5,,0.5,44,6,0,"93.33, 100.0, 100.0, 86.67, 93.33, 100.0, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 86.67, 100.0, 93.33, 93.33, 100.0, 93.33, 93.33, 93.33, 100.0, 93.33, 100.0, 100.0, 100.0, 93.33, 100.0, 100.0, 93.33, 93.33, 100.0, 86.67, 93.33, 93.33, 100.0, 93.33, 100.0, 100.0, 93.33, 100.0, 93.33, 93.33, 93.33, 100.0"
